time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.935098,-0.281481,0.457211,-0.141710
4.965127,-0.081297,0.573821,-0.313722
5.005165,-0.005351,0.882457,0.020108
5.035194,0.446894,1.282754,0.396431
5.065223,0.747545,1.476116,0.360144
5.105261,-0.686166,1.308216,-0.058072
5.135290,-1.396521,1.167951,-0.148688
5.165319,-0.890946,0.904573,-0.189769
5.205357,-0.797038,0.855878,-0.190519
5.235386,-0.803047,1.077771,-0.092051
5.265415,-0.795344,0.978779,0.008440
5.305453,-0.768859,1.001509,0.164870
5.335482,-0.627059,0.997747,0.207128
5.365510,-0.836706,0.926453,0.131548
5.405549,-1.366865,0.783610,0.098759
5.435578,-1.533889,0.887913,0.037646
5.465606,-1.559123,0.975693,0.006092
5.495635,-1.468797,0.901778,-0.072949
5.535673,-0.926950,1.078453,-0.315439
5.565702,-0.394121,1.044057,-0.514452
5.595731,-0.444230,0.815250,-0.581777
5.635769,-0.461915,0.801894,-0.688533
5.665798,-0.559703,0.660983,-0.650698
5.695827,-0.052130,0.667859,-0.621955
5.735865,0.515277,0.347388,-0.542871
5.765894,0.450318,0.098392,-0.470367
5.795923,0.351315,0.073590,-0.351032
5.835961,0.399008,0.301716,-0.173614
5.865990,0.563980,0.390854,-0.081801
5.896019,0.564605,0.225531,0.012400
5.936057,0.445035,0.241360,0.117080
5.966086,0.632278,0.213628,0.095472
5.996115,0.814870,0.322416,0.138456
6.036153,0.714152,0.285397,0.154083
6.066182,0.596604,0.067375,0.187846
6.096211,0.454013,-0.047070,0.231330
6.136249,0.254140,-0.015413,0.123914
6.166278,0.034258,-0.222102,0.137329
6.196307,0.037576,-0.370102,0.024061
6.236345,-0.533939,-1.104766,-0.363990
6.266374,-0.784811,-1.710240,-0.421220
6.296402,-0.352536,-2.201670,-0.498747
6.336441,-0.859865,-2.374605,-0.488324
6.366470,-0.879025,-2.467128,-0.420428
6.396498,-1.227992,-2.614318,-0.103280
6.436537,-1.113131,-2.205834,0.559396
6.466566,-0.994502,-1.835657,0.663209
6.496594,-0.834517,-1.950073,0.621713
6.536633,0.573282,-2.797600,0.690915
6.566661,0.445905,-2.000426,0.375434
6.596690,-1.380944,-0.873879,1.019762
6.636729,-0.810079,-1.302473,0.585500
6.666757,0.034026,-0.767193,0.227322
6.696786,0.191120,-0.297515,-0.163452
6.736825,0.182988,-0.483954,-0.123158
6.766853,0.152844,-0.623057,-0.146194
6.796882,-0.601730,-0.910803,-0.302070
6.836921,-1.629250,-1.143721,-0.042985
6.866949,-1.070712,-0.995110,-0.053818
6.896978,-0.177010,-0.859936,-0.368979
6.937017,-0.322886,-0.921113,-0.291602
6.967045,-0.724575,-0.942657,-0.099988
6.997074,-0.649726,-0.895764,-0.003217
7.037113,-0.341989,-0.713172,0.506574
7.067141,-0.230678,-0.242058,0.718397
7.097170,-0.238994,0.277921,1.056067
7.137209,-0.195501,0.548540,1.279027
7.167237,0.132687,0.531611,1.190668
7.197266,0.446109,0.391062,1.010353
7.237305,0.379509,0.387001,0.914573
7.267333,0.868342,0.312700,1.081062
7.297362,1.203004,0.422208,0.966185
