time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.855890,0.847977,-1.190977,-0.427977
4.895937,1.563329,0.603367,0.174782
4.925972,2.842483,2.993939,0.701023
4.956008,3.198176,4.406691,1.101353
4.996055,3.547091,5.687175,1.783278
5.026090,3.213617,5.691092,2.775553
5.056125,3.893342,6.400912,2.947883
5.096172,3.415646,5.453908,2.552741
5.126208,2.138630,4.678951,2.703778
5.156243,-2.196900,4.772179,1.776423
5.196290,-3.751664,1.677457,0.155923
5.226325,-6.504281,0.593822,-0.749128
5.256360,-5.285322,-0.135992,-0.502724
5.296407,-1.782772,-1.384120,-0.760396
5.326443,-1.199219,-1.954689,-1.938808
5.356478,-2.765730,-3.058895,-4.378515
5.386513,-7.407161,-3.222298,-6.833852
5.426560,-10.347326,-1.580083,-3.846859
5.456596,-8.666384,-3.138414,-3.988315
5.496643,-3.325802,-5.454789,-5.671506
5.526678,-1.155841,-5.558236,-2.895770
5.556713,-1.427407,-5.198243,-3.227008
5.596760,-1.281602,-3.480958,-2.602747
5.626795,-0.811511,-1.949343,-2.470056
5.656831,1.274881,0.486330,-1.774590
5.696878,3.146086,3.566121,-1.461632
5.726913,3.902316,4.550487,-0.450618
5.756948,3.056776,5.350507,0.584881
5.796991,2.499845,5.897932,1.898556
5.827026,1.110562,6.364646,3.070728
5.857062,3.447216,7.354831,4.191854
5.887097,5.783884,5.432271,3.487387
5.927144,4.819517,4.543257,3.675085
5.957179,2.790333,2.820378,0.695099
5.997226,-0.992386,0.249277,0.691664
6.027261,-1.720197,0.241755,-1.012878
6.057297,-0.130153,-1.072250,-0.246569
6.097344,1.375143,-2.029008,0.280144
6.127379,3.346143,-3.669818,-0.288050
6.157414,1.593346,-3.956976,-1.261480
6.197461,1.655903,-6.064852,-3.617873
6.227496,-5.023527,-5.161403,-4.949850
6.257532,-6.165143,-3.914563,-3.415612
6.297579,-4.374199,-3.796699,-3.069052
6.327614,-1.961340,-3.466233,-3.347707
6.357649,-3.562901,-3.367088,-3.496816
6.397696,-4.164566,-3.630582,-1.696937
6.427732,-2.835588,-3.146800,-1.067277
6.457767,0.394801,-2.165376,-1.750473
6.497814,2.578200,1.063723,-1.080167
6.527849,2.788520,2.461978,-0.185457
6.557884,3.017244,4.035817,-0.000031
6.597931,3.395242,5.587930,1.429936
6.627967,2.471456,6.808201,2.602574
6.658002,2.949361,7.537143,4.200068
6.698049,5.864762,7.385356,3.101384
6.728084,7.136944,6.552399,4.171859
6.758119,8.701470,0.593514,0.815079
6.788155,2.095312,-0.696349,1.160188
6.828202,-2.838423,0.006755,-0.492700
6.858237,-2.186147,1.052312,0.918160
6.898284,6.422166,-1.694686,0.501116
6.928319,8.384073,-3.557769,0.411403
6.958354,5.028746,-5.405548,-1.867876
6.988389,0.133224,-5.190179,-2.447829
7.028437,-2.054237,-4.874152,-2.371049
7.058472,-1.602100,-4.953625,-3.498687
7.088507,-1.666553,-4.167330,-4.256024
7.128554,-5.245668,-3.477406,-3.579643
7.158589,-7.566247,-3.208060,-2.806426
7.188624,-6.512411,-3.989387,-1.273800
7.228671,-1.055871,-4.855747,-0.453819
7.258707,2.504575,-2.787853,-0.586171
7.288742,2.686510,-1.690662,-1.580462
7.328789,-0.789926,0.959754,-0.905001
7.358824,-0.373342,2.596990,-0.420498
7.388859,2.855648,3.948520,-0.215704
